actual,prob_0,prob_1,predicted
0,0.24920147230790846,0.7507985276920915,1
1,0.057445627964969215,0.9425543720350308,1
0,0.7066899257961581,0.293310074203842,0
1,0.09397019170277865,0.9060298082972214,1
1,0.29076737013153353,0.7092326298684665,1
1,0.3299099689315951,0.6700900310684049,1
1,0.2099998523242561,0.7900001476757439,1
0,0.47736289163957024,0.5226371083604298,1
1,0.46081538985616155,0.5391846101438384,1
1,0.3840804417767054,0.6159195582232946,1
1,0.14627891227098777,0.8537210877290122,1
1,0.1649107885004759,0.8350892114995241,1
1,0.40314864024343466,0.5968513597565653,1
1,0.33252195344361546,0.6674780465563845,1
1,0.35882112486155504,0.641178875138445,1
1,0.3417920186554352,0.6582079813445648,1
1,0.13038809995698586,0.8696119000430141,1
1,0.3395393674292755,0.6604606325707245,1
0,0.1762464415829501,0.8237535584170499,1
0,0.6016563715136442,0.39834362848635585,0
0,0.7233928458296702,0.27660715417032977,0
1,0.4546131366108197,0.5453868633891803,1
1,0.1586373466554336,0.8413626533445664,1
1,0.6354221678003664,0.3645778321996335,0
1,0.3026244021091493,0.6973755978908507,1
0,0.5885727125566416,0.4114272874433585,0
1,0.22212665886109872,0.7778733411389013,1
1,0.29319205336247456,0.7068079466375254,1
0,0.5575574204173748,0.4424425795826253,0
1,0.6564776803315322,0.34352231966846775,0
1,0.1408625728693932,0.8591374271306068,1
1,0.32678821604161523,0.6732117839583848,1
0,0.07386821080792005,0.92613178919208,1
1,0.4060925441477954,0.5939074558522046,1
1,0.22108279762509586,0.7789172023749041,1
0,0.4781756945975064,0.5218243054024936,1
1,0.49206455685570194,0.5079354431442981,1
0,0.3178189716535468,0.6821810283464532,1
0,0.5813159804881931,0.41868401951180684,0
0,0.20026538233142954,0.7997346176685705,1
